ID,Genres,Avg_Rating,Num_Ratings
1123,Literary Fiction,4.34,454968
1123,Adult,4.34,454968
1123,Queer,4.34,454968
1123,Mental Health,4.34,454968
1127,Romance,4.31,2684
1127,Fiction,4.31,2684
1127,Drama,4.31,2684
1127,Novels,4.31,2684
1127,Contemporary,4.31,2684
1127,Young Adult Romance,4.31,2684
1127,Contemporary Romance,4.31,2684
1129,Psychology,4.36,214
1129,Gaming,4.36,214
1129,Nonfiction,4.36,214
1129,Self Help,4.36,214
1129,Sports,4.36,214
1129,Leadership,4.36,214
1129,Games,4.36,214
1133,Fantasy,4.43,528905
1133,Young Adult,4.43,528905
1133,Romance,4.43,528905
1133,Paranormal,4.43,528905
1133,Steampunk,4.43,528905
1133,Historical Fiction,4.43,528905
1133,Urban Fantasy,4.43,528905
1138,History,4.41,118675
1138,Nonfiction,4.41,118675
1138,War,4.41,118675
1138,Military Fiction,4.41,118675
1138,World War II,4.41,118675
1138,Military History,4.41,118675
1138,Historical,4.41,118675
1142,Young Adult Romance,4.3,6797
1142,Love Story,4.3,6797
1142,Drama,4.3,6797
1142,Realistic Fiction,4.3,6797
1142,Fiction,4.3,6797
1142,Love,4.3,6797
1142,Romance,4.3,6797
1146,Religion,4.41,2295
1146,Theology,4.41,2295
1146,Spirituality,4.41,2295
1146,Fiction,4.41,2295
1146,Classics,4.41,2295
1146,Philosophy,4.41,2295
1146,Faith,4.41,2295
1154,Business,4.42,72100
1154,Biography,4.42,72100
1154,Nonfiction,4.42,72100
1154,Leadership,4.42,72100
1154,Memoir,4.42,72100
1154,Audiobook,4.42,72100
1154,Management,4.42,72100
1159,Contemporary,4.31,1259
1159,Fiction,4.31,1259
1159,Drama,4.31,1259
1159,Novels,4.31,1259
1159,Epic,4.31,1259
1161,Nonfiction,4.54,91273
1161,Essays,4.54,91273
1161,Classics,4.54,91273
1161,Race,4.54,91273
1161,History,4.54,91273
1161,Politics,4.54,91273
1161,Social Justice,4.54,91273
1163,Fantasy,4.3,274663
1163,Fiction,4.3,274663
1163,Adventure,4.3,274663
1163,High Fantasy,4.3,274663
1163,Adult,4.3,274663
1163,Epic Fantasy,4.3,274663
1163,Audiobook,4.3,274663
1170,Philosophy,4.3,9839
1170,Nonfiction,4.3,9839
1170,Animals,4.3,9839
1170,Vegan,4.3,9839
1170,Politics,4.3,9839
1170,Food,4.3,9839
1170,Science,4.3,9839
1171,Nonfiction,4.63,213592
1171,Memoir,4.63,213592
1171,Social Justice,4.63,213592
1171,Race,4.63,213592
1171,Politics,4.63,213592
1171,History,4.63,213592
1171,Audiobook,4.63,213592
1190,Fiction,4.37,505
1190,Novels,4.37,505
1190,Contemporary,4.37,505
1190,Drama,4.37,505
1190,Adult,4.37,505
1190,Book Club,4.37,505
1190,Action,4.37,505
1205,Fantasy,4.35,106
1206,Fiction,4.36,439
1206,Plays,4.36,439
1206,Contemporary,4.36,439
1206,Drama,4.36,439
1206,Historical Fiction,4.36,439
1206,Romance,4.36,439
1206,Suspense,4.36,439
1209,Spirituality,4.62,140
1216,Fantasy,4.3,910
1216,Fiction,4.3,910
1216,Science Fiction,4.3,910
1216,Novels,4.3,910
1216,Contemporary,4.3,910
1216,Drama,4.3,910
1216,Romance,4.3,910
1218,Fantasy,4.56,219
1218,Humor,4.56,219
1218,Childrens,4.56,219
1218,Fiction,4.56,219
1218,Young Adult,4.56,219
1219,Historical Fiction,4.39,7115
1219,Fiction,4.39,7115
1219,Historical,4.39,7115
1219,India,4.39,7115
1219,Pakistan,4.39,7115
1219,Medicine,4.39,7115
1219,Medical,4.39,7115
1227,Childrens,4.53,165
1227,Fantasy,4.53,165
1250,Fantasy,4.49,106726
1250,Fiction,4.49,106726
1250,Humor,4.49,106726
1250,Comedy,4.49,106726
1250,Time Travel,4.49,106726
1250,Science Fiction Fantasy,4.49,106726
1250,Audiobook,4.49,106726
1256,Nonfiction,4.34,2514
1256,Book Club,4.34,2514
1256,How To,4.34,2514
1256,History,4.34,2514
1256,Inspirational,4.34,2514
1256,Politics,4.34,2514
1256,Education,4.34,2514
1257,Nonfiction,4.49,619935
1257,Memoir,4.49,619935
1257,Biography,4.49,619935
1257,Audiobook,4.49,619935
1257,Humor,4.49,619935
1257,Autobiography,4.49,619935
1257,Africa,4.49,619935
1262,Fiction,4.3,3808
1262,Cozy Mystery,4.3,3808
1262,Romance,4.3,3808
1262,Contemporary,4.3,3808
1262,Mystery,4.3,3808
1265,Nonfiction,4.44,466
1265,Education,4.44,466
1265,Book Club,4.44,466
1265,How To,4.44,466
1265,Self Help,4.44,466
1272,Contemporary,4.3,964
1272,Romance,4.3,964
1272,Young Adult,4.3,964
1272,Fiction,4.3,964
1272,Adult,4.3,964
1272,New Adult,4.3,964
1272,Love Story,4.3,964
1274,Drama,4.4,180
1275,Young Adult,4.31,303903
1275,Fantasy,4.31,303903
1275,Vampires,4.31,303903
1275,Paranormal,4.31,303903
1275,Romance,4.31,303903
1275,Urban Fantasy,4.31,303903
1275,Paranormal Romance,4.31,303903
1281,Young Adult,4.34,355605
1281,Fantasy,4.34,355605
1281,Vampires,4.34,355605
1281,Paranormal,4.34,355605
1281,Romance,4.34,355605
1281,Urban Fantasy,4.34,355605
1281,Paranormal Romance,4.34,355605
1291,Nonfiction,4.31,24061
1291,Science,4.31,24061
1291,Travel,4.31,24061
1291,Nature,4.31,24061
1291,Humor,4.31,24061
1291,Animals,4.31,24061
1291,Environment,4.31,24061
1298,Nonfiction,4.48,947664
1298,Memoir,4.48,947664
1298,Biography,4.48,947664
1298,Audiobook,4.48,947664
1298,Autobiography,4.48,947664
1298,Politics,4.48,947664
1298,Biography Memoir,4.48,947664
1300,Nonfiction,4.4,314559
1300,Memoir,4.4,314559
1300,Race,4.4,314559
1300,Audiobook,4.4,314559
1300,History,4.4,314559
1300,Social Justice,4.4,314559
1300,Biography,4.4,314559
1312,Picture Books,4.31,187481
1312,Childrens,4.31,187481
1312,Fiction,4.31,187481
1312,Humor,4.31,187481
1312,Animals,4.31,187481
1312,Fantasy,4.31,187481
1312,Fairy Tales,4.31,187481
1316,Fantasy,4.33,623604
1316,Fiction,4.33,623604
1316,Epic Fantasy,4.33,623604
1316,Science Fiction Fantasy,4.33,623604
1316,High Fantasy,4.33,623604
1316,Dragons,4.33,623604
1316,Adult,4.33,623604
1340,Historical Fiction,4.31,46994
1340,Fiction,4.31,46994
1340,Classics,4.31,46994
1340,Childrens,4.31,46994
1340,Young Adult,4.31,46994
1340,Historical,4.31,46994
1340,War,4.31,46994
1346,Fantasy,4.56,367403
1346,Mythology,4.56,367403
1346,Young Adult,4.56,367403
1346,Middle Grade,4.56,367403
1346,Fiction,4.56,367403
1346,Adventure,4.56,367403
1346,Greek Mythology,4.56,367403
1347,Fantasy,4.31,1344
1347,Contemporary,4.31,1344
1347,Fiction,4.31,1344
1347,Epic,4.31,1344
1347,Science Fiction Fantasy,4.31,1344
1347,Mystery,4.31,1344
1347,Young Adult Fantasy,4.31,1344
1362,Nonfiction,4.55,78545
1362,History,4.55,78545
1362,Audiobook,4.55,78545
1362,Biography,4.55,78545
1362,True Crime,4.55,78545
1362,Business,4.55,78545
1362,Science,4.55,78545
1365,War,4.33,1478
1365,History,4.33,1478
1365,Nonfiction,4.33,1478
1365,Epic,4.33,1478
1365,Contemporary,4.33,1478
1367,Nonfiction,4.45,11545
1367,Psychology,4.45,11545
1367,Self Help,4.45,11545
1367,Feminism,4.45,11545
1367,Relationships,4.45,11545
1367,Abuse,4.45,11545
1367,Mental Health,4.45,11545
1371,Fiction,4.31,30563
1371,Religion,4.31,30563
1371,Historical Fiction,4.31,30563
1371,Portugal,4.31,30563
1371,Literature,4.31,30563
1371,Portuguese Literature,4.31,30563
1371,Nobel Prize,4.31,30563
1393,Fantasy,4.42,534253
1393,Mythology,4.42,534253
1393,Young Adult,4.42,534253
1393,Fiction,4.42,534253
1393,Middle Grade,4.42,534253
1393,Adventure,4.42,534253
1393,Greek Mythology,4.42,534253
1395,History,4.32,27922
1395,Nonfiction,4.32,27922
1395,Classics,4.32,27922
1395,Russia,4.32,27922
1395,Politics,4.32,27922
1395,Biography,4.32,27922
1395,Russian Literature,4.32,27922
1396,Nonfiction,4.36,7551
1396,Science,4.36,7551
1396,Animals,4.36,7551
1396,Nature,4.36,7551
1396,Africa,4.36,7551
1396,Anthropology,4.36,7551
1396,Biology,4.36,7551
1403,Fiction,4.46,1777
1403,Abuse,4.46,1777
1403,Dark,4.46,1777
1408,Fiction,4.3,30332
1408,Thriller,4.3,30332
1408,Mystery,4.3,30332
1408,Espionage,4.3,30332
1408,Mystery Thriller,4.3,30332
1408,Suspense,4.3,30332
1408,Spy Thriller,4.3,30332
1412,Picture Books,4.32,234146
1412,Childrens,4.32,234146
1412,Christmas,4.32,234146
1412,Fiction,4.32,234146
1412,Fantasy,4.32,234146
1412,Classics,4.32,234146
1412,Holiday,4.32,234146
1419,Historical Fiction,4.3,42382
1419,Fiction,4.3,42382
1419,Historical,4.3,42382
1419,Israel,4.3,42382
1419,Religion,4.3,42382
1419,Jewish,4.3,42382
1419,Novels,4.3,42382
1422,Fiction,4.3,523
1422,Novels,4.3,523
1424,Fiction,4.32,26853
1424,Humor,4.32,26853
1424,Classics,4.32,26853
